name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1
Aponte Colombia,Lexington Coffee Roasters,Medium-Light,United States,Narino Department,Southern Colombia,4.69,90,19-Apr,"Delicate, sweetly pungent. Apple-brandy reduction, hazelnut, lime zest, freesia and fir in aroma and cup. Low-toned, savory-edged structure with gently tart acidity; smooth, lightly creamy mouthfeel. Quietly rich-toned finish, with a hint of tart apple in the long."
Sumatra Tano Batak,Gracenote Coffee Roasters,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5.29,94,19-Apr,"Sweetly and deeply pungent: earth and chocolate. Rich dark chocolate, fresh-turned humus, black currant, magnolia, cedar in aroma and cup. Pungent, sweet-tart in structure, with a profound savory bottom. The mouthfeel is not particularly full, but smooth, satiny. Nothing is lost in a flavor-saturated finish."
Boru Batak Sumatra,Notch Coffee,Medium-Light,Canada,Lintong Growing Region,North Sumatra Province,3.97,94,19-Apr,"Deep, complex, sweetly pungent. Black currant, baker’s chocolate, moist, fresh-fallen leaves, maple syrup, a slight hint of juicy, berryish ferment in aroma and cup. Crisply sweet-savory in structure; plush, buoyant mouthfeel. Flavor resonates long into a richly drying finish."
Sumatra Gayo King Mandheling,Fumi Coffee,Medium,Taiwan,Gayo (Also Aceh) Growing Region,Aceh Province,8.38,93,19-Apr,"Richly sweet, subtly earth-toned, lightly roasty. Distinct dark chocolate, black cherry, fresh-turned loam, cedar, freesia-like flowers in aroma and cup. Sweet-tart in structure, with a savory bottom. Lightly syrupy mouthfeel. The loamy earth notes and dark chocolate dominate in a very sweet, layered finish."
Huta Raja Natural,Giv COFFEE,Light,United States,Simalungun Regency,North Sumatra Province,6.17,93,19-Apr,"Cocoa- and mango-toned, quietly zesty. Baker’s chocolate, mango, sandalwood, almond nougat, freesia-like flowers in aroma and cup. In structure, bittersweet with an enlivening tart edge; lightly syrupy mouthfeel. Finish sweetens and consolidates around cocoa, almond and sandalwood."
Sumatra Pantan Musara,Paradise Roasters,Medium-Light,United States,Gayo (Also Aceh) Growing Region,Aceh Province,5.86,93,19-Apr,"Richly and vivaciously sweet-savory. Pipe tobacco, date, grapefruit zest, spearmint, rose-like flowers in aroma and cup. Sweetly tart and deeply savory, almost meaty in structure. Syrupy but crisply drying mouthfeel. Flavor consolidates around grapefruit, spearmint and rose in a savory-bottomed, lasting finish."
ASOPCAFA Colombia,JBC Coffee Roasters,Medium-Light,United States,Huila Department,Southern Colombia,4.67,91,19-May,"Soft, balanced: cocoa and nuts. Baking chocolate, tangerine zest, nut (hazelnut, pistachio), fresh-cut pine in aroma and cup. Delicately brisk in structure; light though silky mouthfeel. Finish is resonant but drying, consolidating around unsweetened chocolate and nut."
Natural Burundi Nemba,Amavida Coffee Roasters,Light,United States,Kayanza,Kabuye,5.86,92,19-May,"Round, layered, sweet-savory, understated but original. Walnut, cocoa powder, maple syrup, hints of pear and rum in aroma and cup. Softly brisk in structure; syrupy and full in mouthfeel. Flavor consolidates around walnut and maple syrup in a gently drying finish. "
Ka’u Champagne Natural,Paradise Roasters,Light,United States,Ka'U Growing Region,Big Island Of Hawai'I,17.59,94,19-May,"Vibrant, juicy, brightly fruit-toned and spicily floral. Wild strawberry, honey, dried gardenia, pistachio butter, pink peppercorn in aroma and cup. Sweet-tart structure with crisp, fresh acidity; viscous, lively mouthfeel. The finish amplifies rich floral and fruit with support from deep spice and earthy honey suggestions."
Monarch Gesha,Equator Coffees,Medium-Light,United States,Holualoa,North Kona Growing District,37.04,94,19-May,"Floral and sweetly herbaceous with richly framed depth. Jasmine, spearmint, chocolate, watermelon, fine musk in aroma and cup. Deeply sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish centers around chocolate and jasmine with musk undertones."
Puna Barrel-Aged,Big Island Coffee Roasters,Medium-Light,Hawai'i,Puna District,Big Island Of Hawai'I,10.93,93,19-May,"Sweetly spice-toned, richly chocolaty. Salted chocolate, hop flowers, Concord grape, ginger, a hint of aged grappa in aroma and cup. Sweet-savory structure with fruit-forward, wine-toned acidity; full, syrupy mouthfeel. The finish leads with Concord grape and ginger in the short, followed by hops in the long, all bound by a throughline of savory-sweet chocolate and aged grappa."
Kona Peaberry,Big Island Coffee Roasters,Medium-Light,Hawai'i,Kona District,Kealakekua Growing Region,10.23,93,19-May,"Rich-toned, deeply sweet. Black cherry, magnolia, fresh-cut cedar, maple syrup, a hint of thyme in aroma and cup. Sweet-toned structure with round, gentle acidity; lush, syrupy mouthfeel. Resonant finish that centers around notes of black cherry and cedar."
Laura’s Reserve SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,28.2,93,19-May,"Classic, balanced, rich-toned. Honeysuckle, red currant, toffee, dried coconut, mango in aroma and cup. Sweetly tart in structure with bright acidity; velvety-smooth mouthfeel. The finish consolidates to toffee-toned red currant in the short and coconut in the long."
Ka’u Natural,Nine Point Coffee,Medium-Light,Taiwan,Ka'U Growing Region,Big Island Of Hawai'I,21.6,93,19-May,"Richly fruit-toned, complexly layered. Cacao nib, jujube (red date), marjoram, freesia-like flowers, fresh pipe tobacco in aroma and cup. Sweetly tart structure with bright acidity; lightly satiny mouthfeel. The rich, long finish is flavor-saturated, consolidating to cocoa, fresh tobacco and marjoram."
Maui Kupa’a Orange Bourbon,Origin Coffee Roasters,Medium-Light,Hawai'i,Kula,Island Of Maui,17.64,93,19-May,"Bright, crisply sweet-tart. Peach, honeysuckle, cinnamon, cedar, cacao nib in aroma and cup. Richly sweet, high-toned structure with citrusy acidity; crisp, silky mouthfeel. Peach and honeysuckle carry the short finish, while cocoa-toned cedar resurfaces in the long. "
Honey Typica,Rusty's Hawaiian,Medium-Light,Hawai'i,Ka'U Growing Region,Big Island Of Hawai'I,10.58,92,19-May,"Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity; satiny-smooth mouthfeel. The finish centers around crisp stone fruit and aromatic wood notes, with a hint of spicy flowers underneath."
Ka’u Typica Natural,Three Chairs Specialty Turkish Coffee,Medium-Light,United States,Ka'U Growing Region,Big Island Of Hawai'I,14.11,92,19-May,"Crisply sweet-tart, balanced. Rose hips, almond nougat, orange zest, apricot, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety-smooth mouthfeel. The finish consolidates to pretty notes of nougat and apricot, with a hint of cedar. "
Estate-Grown Mamo,Greenwell Farms,Medium,Hawai'i,Kealakekua,Kona Growing District,22.05,90,19-May,"Sweet-savory, richly wood-framed. Date, spice box, fresh-cut fir, cocoa powder, rhododendron in aroma and cup. Sweetly savory in structure with round, gentle acidity; crisp, satiny mouthfeel. The finish is characterized by dried fruit and mixed baking spices animating fresh-cut aromatic wood. "
Colombia Las Joyas: Fidencio Martinez Lot,Beanfruit Coffee Co.,Medium-Light,United States,Narino Department,Southern Colombia,4.7,91,19-May,"High-toned sweetness, crisply tart, pleasantly salty-edged. Dried apricot, tamarind, salted chocolate, cedar, magnolia in aroma and cup. Gently low-toned with balanced tart and salty/savory structure; briskly juicy acidity. Full, buttery mouthfeel. Flavor simplifies in the finish, with hints of salted cocoa and dry cedar carrying into the long."
Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,Medium,Taiwan,Tolima Department,Colombia,17.07,94,19-May,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish. "
Ethiopia Oromia Guji Washed,Dou Zhai Coffee & Roast,Medium-Light,Taiwan,Guji Zone,Oromia Region,8.53,94,19-May,"Very sweet, floral, deeply rich. Date, tangerine zest, fresh pipe tobacco, freesia-like flowers, dark chocolate in aroma and cup. Complex and deeply rich structure; roundly tart acidity. Full, syrupy mouthfeel. The finish is dry but rings with rich tobacco and unsweetened chocolate far into the long."
Yemen Matari,Baba Java Coffee,Medium,United States,Bani Matar Growing Region,Yemen,12.35,93,19-May,"Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco."
Crema de Dolce Espresso,Dragonfly Coffee Roasters,Medium-Light,United States,Central America,South America,4.12,93,19-Jun,"Evaluated as espresso. Balanced, richly bittersweet. Baker’s chocolate, dried apricot, hop flowers, sandalwood, hazelnut butter in aroma and cup. Plush, creamy mouthfeel; bright, fruit-forward finish. In milk, crisp chocolate notes envelope notes of stone fruit and bittersweet florals in the short, with rich aromatic wood tones resurfacing in the long."
Espresso Classico,Paradise Roasters,Medium,United States,Brazil,Ecuador,3.81,93,19-Jun,"Evaluated as espresso. Classically cocoa-toned and sweetly tart. Nutella, pink peppercorn, pomegranate, molasses, magnolia in aroma and small cup. Creamy-smooth body; short but resounding finish. The milk shot is lush and fudgelike, with undertones of pomegranate and magnolia."
Ace Espresso,Propeller Coffee,Medium-Light,Canada,Burundi,Colombia,3.99,93,19-Jun,"Evaluated as espresso. Deeply cocoa- and nut-toned, brightly fruit-forward. Cocoa powder, caramel, almond butter, dried black cherry, myrrh in aroma and small cup. Velvety mouthfeel, crisp, chocolaty and nut-toned finish. The milk shot leads with notes of black cherry and cocoa powder, supported by rich aromatic wood and almond butter."
Old Crow Cuppa Joe,Red Rooster Coffee Roaster,Medium,United States,Central America,South America,4.11,93,19-Jun,"Evaluated as espresso. Richly sweet, fruit-toned and chocolaty. Dark chocolate, dried cherry, fresh-cut fir, almond blossom, molasses in aroma and small cup. Full, satiny-smooth mouthfeel; flavor-saturated finish driven by chocolate and stone fruit notes. This blend sings in milk, elevating notes of both cherry and chocolate in lasting vibrancy."
Ethiopia Sidamo Sasaba,Temple Coffee Roasters,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.29,92,19-Jun,"Richly sweet, cocoa-toned. Dark chocolate, apricot, hazelnut, lilac, maple syrup in aroma and cup. Balanced, bittersweet structure with rounded acidity; satiny-smooth mouthfeel. The finish is thoroughly chocolaty with undertones of apricot and hazelnut."
Zambia Kateshi Natural Process,Paradise Roasters,Medium-Light,United States,Zambia,Sidamo (Also Sidama) Growing Region,4.39,92,19-Jun,"Richly and cleanly fruit-toned. Bing cherry, freesia-like flowers, fruit taffy, fresh-cut oak, lemon verbena in aroma and cup. Sweet-toned structure with vivacious acidity; vibrant, creamy mouthfeel. Gentle, fruit-forward finish with spicy floral notes."
Ethiopia Gedeb Worka Sakaro,Direct Coffee,Medium-Light,Taiwan,Gedeb District,Gedeo Zone,9.39,95,19-Jun,"Deeply sweet, intensely pungent. Dark chocolate, pink grapefruit zest, wisteria, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with lively, juicy acidity; syrupy mouthfeel. The finish is long and satisfying: flavor-saturated, floral-, chocolate- and fruit-toned, harmoniously balanced."
La Belleza Colombia,JBC Coffee Roasters,Medium-Light,United States,San Augustin,Huila,5.73,94,19-Jun,"Balanced, high-toned, richly sweet. Molasses, crisp green tomato, wisteria, Nutella, fresh pipe tobacco in aroma and cup. Sweet-savory-tart structure; very syrupy mouthfeel. Rich-toned finish with notes of dark chocolate, hazelnut and wisteria."
Colombia Pink Bourbon,Paradise Roasters,Medium-Light,United States,Huila,Colombia,7.33,94,19-Jun,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish."
Crystalina,Steady State Roasting Company,Medium-Light,United States,Caldas Growing Region,Colombia,5.88,94,19-Jun,"Juicy, bright, deeply and richly sweet. Dried strawberry, toffee, lilac, myrrh, maple syrup in aroma and cup. Sweet-tart structure with vivacious acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of strawberry and toffee."
Kenya Kiambu Gititu AA,Kakalove Cafe,Medium-Light,Taiwan,Kiambu Growing Region,South-Central Kenya,5.1,94,19-May,"Richly savory-sweet, balanced, layered and lively. Red currant, maple syrup, honeysuckle, sandalwood, dark chocolate in aroma and cup. Deeply sweet-savory structure with juicy, confident acidity; full, syrupy mouthfeel. Long, flavor-saturated finish centers around red fruit and sweet-spicy floral notes."
Hawaiian Kona 100%,Cafe Virtuoso,Medium,United States,Kona Growing District,Big Island Of Hawai'I,17.64,93,19-May,"Cleanly fruit-toned, richly sweet-tart. Raspberry, freesia, oak, pistachio, cacao nib in aroma and cup. Sweetly tart structure with gentle, rounded acidity; full, velvety mouthfeel. Raspberry and freesia notes animate the elegant, crisply sweet finish."
Guatemala Finca El General BlackLand Lot,Kakalove Cafe,Medium,Taiwan,Acatenango Growing Region,Central Guatemala,2.55,92,19-May,"Evaluated as espresso. Deep, rich, chocolaty. Dried apricot, dark chocolate, hazelnut, molasses, cedar in aroma and small cup. Satiny smooth mouthfeel; crisp, sweetly nut-toned finish. Chocolate leads in three parts milk, followed by notes of molasses and hazelnut."
Ninety Plus Gesha Estates JBC Custom Lot #252,JBC Coffee Roasters,Medium-Light,United States,Chiriqui Province,Far Western Panama,43.65,94,19-May,"A complex and overwhelming aromatic immersion. Pink bubblegum, winter spices, salted fudge, candied ginger, elderflower, herbal liqueur (yellow chartreuse?) in aroma and cup. The structure is dramatic: basic tastes are all disconcertingly intense, including sweet, salt and savory, yet they all somehow layer and satisfy. Very full and syrupy mouthfeel with a spicy drying edge. The finish is resonant, slightly bittersweet though chocolaty and rich."
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,Bird Rock Coffee Roasters,Medium-Light,United States,Cundinamarca Department,Central Colombia,26.46,96,19-May,"Elaborate, vibrant, exhilarating. Dark chocolate truffle, strawberry guava, candied ginger, lilac, myrrh in aroma and cup. Crisply sweet-tart structure with bright, succulent acidity; very syrupy mouthfeel. The finish is zesty in the short and cocoa- and floral-toned in the long."
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Narino Department,Southern Colombia,5.58,92,19-May,"Richly bittersweet with pleasing savory undertones. Milk chocolate, hop flowers, apricot, narcissus, sandalwood in aroma and cup. Savory-sweet structure with brisk acidity; plush, satiny mouthfeel. Crisp, resonant finish with notes of milk chocolate and hop flowers. "
ASOPCAFA Espresso,JBC Coffee Roasters,Medium-Light,United States,Huila Department,Southern Colombia,4.67,91,19-May,"Evaluated as espresso. Round, balanced; softly and sweetly tart. Mango, orange zest, pistachio, cedar, cocoa. Satiny mouthfeel. Cedar, nut and cocoa carry into a resonant, lightly drying finish. Custardy orange and chocolate dominate in three parts milk. "
Rukera Espresso,JBC Coffee Roasters,Medium-Light,United States,Kiambu Growing Region,South-Central Kenya,6.23,97,19-Jul,"Evaluated as espresso. Exquisitely aromatic: high-toned, savory and impossibly floral. Toffee, dried black currant, myrrh, lavender, fine musk in aroma and small cup. Plush, syrupy mouthfeel; big, complex finish that is equal parts sweet and savory. In cappuccino-scaled milk, a whole new mid-palate is created, something akin to a mushroom custard."
Colombia Pink Bourbon El Corazon,Bird Rock Coffee Roasters,Medium-Light,United States,Tolima Department,Colombia,8.82,93,19-Jul,"Rich-toned, deeply floral. Honeysuckle, nectarine, pink peppercorn, oak, Meyer lemon zest in aroma and cup. Vibrantly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Spice-toned finish with pretty floral and citrus notes."
L2 Love Espresso Blend,DoDo Kaffa,Medium-Light,Taiwan,Kenya,Tolima Department,8.53,93,19-Jul,"Evaluated as espresso. Crisp, sweetly spice-toned. Pomegranate, cedar, dark chocolate, magnolia, a hint of cumin in aroma and small cup. Crisp, satiny mouthfeel; tart-leaning, richly drying finish. Tart flavors stand up to three parts milk, in which dark chocolate and magnolia are also amplified."
Guatemala-Ethiopia Espresso Blend,Dory Coffee Roasters,Medium-Light,Taiwan,Ethiopia,Guatemala,5.69,93,19-Jul,"Evaluated as espresso. Bright, floral, sweetly herbaceous. Tangerine zest, lemon verbena, dark chocolate, narcissus-like flowers, sandalwood in aroma and small cup. Crisp, satiny mouthfeel; resonant finish consolidates to narcissus and sandalwood. In cappuccino-scaled milk, this coffee is driven by deep florals and rich aromatic wood notes, with a base of dark chocolate."
Black Meow Blend,Kakalove Cafe,Medium,Taiwan,Colombia,Guatemala,2.34,93,19-Jul,"Evaluated as espresso. Bittersweet, gently roast-toned, chocolaty. Chocolate fudge, roasted hazelnut, green apple, molasses, singed cedar in aroma and small cup. Silky-smooth mouthfeel; crisp, richly drying finish. Reads like a classic Italian espresso in three parts milk, bitter and sweet in equal parts, balanced and harmonious with a hint of roast throughout."
Karibu Espresso Blend,De Clieu Coffee,Light,Taiwan,Ethiopia,Panama,5.66,92,19-Jul,"Evaluated as espresso. Crisply sweet-tart, spice-toned. Baker’s chocolate, cardamom, tart cherry, fir, almond butter in aroma and small cup. Creamy body; bittersweet, wood-framed finish. Cardamom-toned chocolate blooms in three parts milk, along with sweet nut and tart fruit notes."
Sun Sun Sun Sun Sun Sun Sun Sun Sun Blend,Small Eyes Cafe,Light,Taiwan,Ethiopia,Panana,5.6,93,19-Jul,"Evaluated as espresso. High-toned, fruit-forward. Watermelon candy, salted caramel, vanilla, milk chocolate, cinnamon in aroma and small cup. Full, creamy mouthfeel; delicate, sweet-toned finish centered around notes of watermelon candy and cinnamon. Dessert-like in the milk shot, all fruit and candy with a hint of cinnamon."
Ethiopia Hambela 1 Organic Natural Alaka,SkyTop Coffee,Medium-Light,United States,Hambela District,Oromia Growing Region,4.41,92,19-Jun,"Deeply sweet, fruit-toned, with a hint of sweet ferment. Baker’s chocolate, plum, narcissus, barrel-aged rum, cedar in aroma and cup. Sweet-toned structure with brisk acidity; full, satiny mouthfeel. Richly drying, flavor-saturated finish. "
Brazil Ibicoara Chapada Diamantina Natural,SkyTop Coffee,Medium,United States,Ibicoara Municipality,Chapada Diamantina Region,4.41,91,19-Jun,"Richly sweet, nut-toned. Date, hazelnut, sassafras, elm, freesia-like flowers in aroma and cup. Sweet-savory structure with gentle, round acidity; satiny mouthfeel. Long, undulating finish centered around sweet hazelnut notes."
Costa Rica Coto Brus-La Amistad,SkyTop Coffee,Medium-Light,United States,Coto Brus,Puntarenas,4.41,90,19-Jun,"Crisply sweet-tart. Lemon verbena, cherry, oak, cocoa nob, honeysuckle in aroma and cup. Sweet-tart structure with vibrant acidity; velvety mouthfeel. The finish consolidates to notes of cherry and oak."
Karimikui AA Kenya,Collage Coffee,Light,United States,Central Kenya,Coto Brus,5.29,93,19-Jun,"Deep, rich, roundly pungent. Lime zest, date, maple syrup, magnolia, fresh-cut cedar. Balanced sweet-tart-savory in structure, with a lime-brightened gleam of acidity. Full, syrupy though drying mouthfeel. Flavor consolidates in a robust, layered short finish, fading and drying slightly in the long. "
Peru Antonio Regalado Diaz El Huyacan La Palma,Big Shoulders Coffee,Medium-Light,United States,Cajamarca,Peru,6.17,93,19-Jun,"Floral-toned, richly sweet. Wisteria, toffee, lime zest, frankincense, apricot in aroma and cup. Bittersweet structure with confident, citrusy acidity; delicate, silky mouthfeel. The crisp finish consolidates to notes of toffee and lime zest with undertones of frankincense."
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Antigua Growing Region,Guatemala,4.67,93,19-Jun,"Deeply rich, equally sweet and savory. Brown sugar, hop flowers, toasted coconut, chestnut, sumac in aroma and cup. Sweet-tart-savory structure with vibrant, juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to coconut and chestnut with undertones of brown sugar."
Peru Natural Jose Herrera Lot 21,Kakalove Cafe,Medium-Light,Taiwan,Cajamarca,Peru,3.68,93,19-Jun,"Richly fruit-toned, chocolaty. Dried raspberry, dark chocolate, sandalwood, almond, freesia-like flowers in aroma and cup. Sweetly tart in structure with round, gentle acidity; full, syrupy mouthfeel. Fruit- and chocolate-centered in the finish as well, with pretty freesia notes."
Burundi Dukorerikawa Natural,Flight Coffee Co.,Medium-Light,United States,Bururi Growing Region,Burundi,4.7,93,19-Jun,"High-toned, fruity, deeply savory. Cocoa nib, plum sauce, brown sugar, sumac, freesia in aroma and cup. Round and deep, richly sweet-savory structure; full, chewy mouthfeel. The finish resolves with a simple yet compelling sweet and tart resonance."
Guatemala Acatenango Washed Lot 503 Espresso,Kakalove Cafe,Medium,Taiwan,Acatenango Growing Region,Guatemala,2.83,93,19-Jun,"Evaluated as espresso. Cocoa-toned, deeply sweet. Cocoa powder, date, cedar, apricot, blood orange zest in aroma and small cup. Big, creamy mouthfeel; the finish is redolent of cocoa and citrus zest. In cappucino-scaled milk, cocoa tones are amplified, as are notes of stone fruit and citrus."
The Core Espresso,Highwire Coffee Roasters,Medium,United States,Ethiopia,Guatemala,5.07,94,19-Jun,"Evaluated as espresso. High-toned, sweetly tart; Bing cherry, dark chocolate, tangerine zest, honeysuckle, a hint of fine pipe tobacco in aroma and small cup. Full, syrupy mouthfeel; earthy-sweet finish. In cappuccino-scaled milk, dark chocolate is amplified, as are deep florals, while tart fruit notes round."
Espresso Mandarina,Amavida Coffee Roasters,Medium,United States,Congo,Ethiopia,4.98,94,19-Jun,"Evaluated as espresso. Spice-toned, fruit-forward. Dried raspberry, cinnamon, dark chocolate, almond butter, narcissus in aroma and small cup. Crisp, satiny texture; resonant, flavor-saturated finish. In three parts milk, balanced and chocolaty, with lingering spice notes."
SOB Espresso,Folly Coffee Roasters,Medium,United States,Colombia,Congo,5.57,94,19-Jun,"Evaluated as espresso. Deeply chocolaty, richly floral. Chocolate fudge, lilac, peach, fresh-cut cedar, hazelnut butter in aroma and small cup. Crisp, satiny-smooth mouthfeel; the deep, long, resonant finish maintains all of the aroma and flavor notes from the cup. Also profoundly satisfying in three parts milk, with chocolate and florals in a slow dance and fruit returning to the surface in the long finish."
Ethiopia Yirgacheffe Chelelektu Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,96,19-Aug,"Deeply sweet, elegantly rich. Mulberry, sandalwood, tangerine zest, jasmine, baking spices in aroma and cup. Sweetly tart in structure with high-toned, juicy acidity; plush, syrupy mouthfeel. The seemingly infinite finish fulfills the promise of the cup, leading with deep berry and citrus zest, rounding to floral-toned spice."
Kenya Kimaruri,Caffe Luxxe,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.76,94,19-Aug,"Crisply sweet, richly savory, vibrant. Red currant, jasmine, maple syrup, sandalwood, cacao nib in aroma and cup. The structure is harmoniously sweet-tart-savory with juicy, lively acidity. Plush, syrupy mouthfeel. The richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long."
Zambia Kateshi Natural,Peach Coffee Roasters,Medium-Light,United States,Northern Province,Zambia,5,92,19-Aug,"Crisp, cleanly fruit-centered. Dried raspberry, honeysuckle, grapefruit zest, cedar, cacao nib in aroma and cup. Sweet-toned with gentle acidity; velvety-smooth mouthfeel. Fruit-toned in the finish, supported by cacao nib and cedar."
Kenya Handege,Greater Goods Coffee Roasters,Medium,United States,Thika Growing Region,Central Kenya,5.58,94,19-Aug,"Very sweet, tart, musky and rich. Sugarcane, orange zest, ripe peach, gardenia, myrhh in aroma, with elegant tobacco and cocoa also emerging in the cup. Structure is deeply sweet-savory, with juicy acidity; gently drying, syrupy mouthfeel. The resonant finish is crisp and rich: cocoa, tobacco, florals and citrus zest carry into the long."
Kauai Estate Reserve Sun-Dried Typica,Kauai Coffee Company,Medium-Light,Hawai'i,Kalaheo,Kauai,21.16,90,19-Aug,"Balanced, crisply sweet. Cocoa, peach, oak, almond, grapefruit zest in aroma and cup. Sweet-toned, brisk structure with a savory edge; soft, plush mouthfeel. Peach, nut and oak carry into a sweet-toned though roundly drying finish. "
Ecuador Loja Clara Sidra Natural Taza Dorada #2,94 Fresh Coffee,Medium-Light,Taiwan,Loja Province,Southern Ecuador,9.87,93,19-Aug,"Sweet, crisp, meadowy, fresh. Honeydew melon, fresh-cut fir, orange zest, clover blossom in aroma and cup. Crisp, balanced structure; satiny mouthfeel. The finish is citrusy, savory-sweet, resonant. "
The Natural,Barrington Coffee Roasting,Medium-Light,United States,Africa,Asia,4.69,92,19-Aug,"Very sweet, chocolaty and spicy. Ripe banana, moist pipe tobacco, tangerine zest, lilac, bakers chocolate in aroma and small cup. Light, silky mouthfeel. Tightens and turns rather dry in the finish, especially in the long. The coffee’s complex aromatics and deep sweetness carry seductively into three parts milk."
Ethiopia Sidamo G4 Natural Espresso,Small Eyes Cafe,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,2.56,93,19-Aug,"Deeply rich, sweet, complex. Cocoa nib, ripe persimmon, tangerine zest, gardenia and myrrh in aroma and small cup. Rich, lightly velvety mouthfeel; crisp, cocoa-toned finish. In three parts milk, aromatics carry through distinctly with balanced pungency and sweetness."
Green-Tip Geisha,Finca Las Nieves,Medium-Light,Mexico,Oaxaca State,Mexico,15.43,94,19-Jul,"High-toned, delicate, complex. Apricot, narcissus, maple syrup, sandalwood, tangerine zest in aroma and cup. Sweetly tart structure with bright, juicy acidity; plush, syrupy mouthfeel. Rich, resonant finish that consolidates to notes of apricot and sandalwood."
Saint Helena Island Peaberry,Paradise Roasters,Medium-Light,United States,Sandy Bay Valley,Saint Helena Island,44.05,93,19-Jul,"Delicate, richly sweet-tart. Almond nougat, lemon zest, tea rose, dried cherry, clove in aroma and cup. Sweetly tart in structure with crisp, wine-like acidity; satiny-smooth mouthfeel. The long finish centers around notes of dried cherry and clove."
Philippines Sitio Naguey Natural,Paradise Roasters,Medium-Light,United States,Belis,Atok,8.36,90,19-Jul,"Delicately fruit-toned, crisply sweet. Dried strawberry, baker’s chocolate, hazelnut, freesia-like flowers, cedar in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. The gentle finish leads with notes of dried strawberry and flowers supported by baker’s chocolate throughout."
Ethiopia Guji Queen Honey,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,13.23,93,19-Jul,"Richly sweet, fruit-forward. Dried peach, baker’s chocolate, jasmine, cedar, molasses in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp, satiny mouthfeel. Long, lingering finish that centers around dried peach and chocolate notes, supported by cedar-like wood."
Ethiopia Civet Sidama Papilio Natural,Good Chance Biotechnology,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,90.83,93,19-Jul,"Richly sweet, fruit- and floral-toned. Blueberry, narcissus, agave syrup, sandalwood, dark chocolate in aroma and cup. Sweet in structure with gentle, round acidity; plushly syrupy mouthfeel. The resonant finish leads with notes of blueberry and narcissus in the short, rounding to aromatic wood-framed chocolate in the long."
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Kochere Woreda,Gedeo Zone,4.82,93,19-Jul,"Sweetly floral and richly resinous. Cedar, lemon zest, dried jasmine, cacao nib, loquat in aroma and cup. Delicate, sweetly brisk in structure; silky and lively in mouthfeel. Flavor consolidates around cedar and cocoa in a crisp, drying finish."
Ethiopia Washed Guji Dimtu Espresso,Kakalove Cafe,Medium-Dark,Taiwan,Guji Zone,Oromia Region,3.19,93,19-Jul,"Evaluated as espresso. Richly roast-toned; floral and chocolaty. Gently scorched cedar, baker’s chocolate, narcissus-like flowers, mango, spearmint in aroma and small cup. Satiny mouthfeel; chocolate and spicy roast notes carry in a dry but lasting finish. The crisp chocolate dominates in three parts milk, with continuing hints of flowers and mango-like fruit."
